Summary,ifpri
Has description,True
Has tagline,True
Number of search facets,7
Metadatablocks enabled,2
Dataset count,554
Versions (avg # of major and minor versions),2.82
Major versions (average #),1.58
Description length (avg # of characters),1446.38
CC0 datasets (% of total datasets),12.454873646209386
Age of datasets (average),1442.7924187725632
No terms (% of datasets with no terms metadata),0.18
Related pub metadata (% of datasets with rel pub metadata),49.28
Related pub PIDs (% of datasets with rel pub PIDs),27.26
Metadatablocks used (list),"citation,geospatial,socialscience"
No files (# of datasets with no files),103
File descriptions (% of datasets with 1 or more file descriptions),43.86
File tags (% of datasets with 1 or more file tags),73.10469314079423
Unique file types (count),30
Tabular data (% of datasets with tabular data) ,67.63
Tabular data ingest successes (% of datasets with tabular data that has been ingested),82.3
Public files (% of unrestricted files),86.57
