Summary,nds
Has description,False
Has tagline,True
Number of search facets,5
Metadatablocks enabled,0
Dataset count,184
Versions (avg # of major and minor versions),1.14
Major versions (average #),1.01
Description length (avg # of characters),145.47
CC0 datasets (% of total datasets),0.0
Age of datasets (average),2663.2989130434785
No terms (% of datasets with no terms metadata),0.0
Related pub metadata (% of datasets with rel pub metadata),0.54
Related pub PIDs (% of datasets with rel pub PIDs),0.0
Metadatablocks used (list),"citation,geospatial,socialscience"
No files (# of datasets with no files),3
File descriptions (% of datasets with 1 or more file descriptions),31.52
File tags (% of datasets with 1 or more file tags),50.0
Unique file types (count),17
Tabular data (% of datasets with tabular data) ,31.49
Tabular data ingest successes (% of datasets with tabular data that has been ingested),94.74
Public files (% of unrestricted files),1.01
