,mit
Has description,True
Has tagline,True
Number of search facets,9
Metadatablocks enabled,2
Dataset count,86
Versions (avg # of major and minor versions),3.58
Major versions (average #),1.72
Dataset description length (avg # of characters),364.58
CC0 datasets (% of total datasets),6.98%
Age of datasets (average),1624.87
No terms (% of datasets with no terms metadata),0.0%
Related pub metadata (% of datasets with rel pub metadata),0.0%
Related pub PIDs (% of datasets with rel pub PIDs),0.0%
Metadatablocks used (list),"citation,geospatial,socialscience"
No files (# of datasets with no files),5
File descriptions (% of datasets with 1 or more file descriptions),41.86%
File tags (% of datasets with 1 or more file tags),37.21%
Unique file types (count),27
Ingestable tabular data (% of datasets with data files that can be ingested),74.07%
Tabular data ingest successes (% of datasets with tabular data that have been ingested),53.33%
Public files (% of unrestricted files),2.69%
