dataverse_installation_name,DAI,DOI,GND,ISNI,LCNA,ORCID,ResearcherID,ScopusID,VIAF,idHAL
ACSS_Dataverse,0,0,0,0,0,5,0,0,0,0
ADA_Dataverse,0,0,0,0,0,1121,0,0,0,0
ASU_Library_Research_Data_Repository,0,0,0,0,0,92,0,0,0,0
AUSSDA_Dataverse,0,0,0,0,0,258,0,0,0,0
Abacus,0,0,0,0,0,0,0,0,0,0
Arca_Dados,0,0,0,0,0,135,0,0,0,0
Borealis,0,0,0,22,0,3714,3,10,0,0
CESA_-_Repositorio_de_datos_académicos,0,0,0,0,0,4,0,0,0,0
CIDACS,0,0,0,0,0,10,0,0,0,0
CIFOR,0,0,0,0,0,95,0,0,0,0
CIMMYT_Research_Data,0,0,0,0,0,2599,0,4,0,0
CORA._Research_Data_Repository_(RDR),0,0,0,0,0,1602,0,2,0,0
CROSSDA,0,0,0,0,0,32,0,0,0,0
CUHK_Research_Data_Repository,0,0,0,0,0,20,0,0,0,0
DADOS_IPB,0,0,0,0,0,32,0,0,0,0
DANS_Data_Station_Archaeology,158,0,0,60,0,45,0,0,0,0
DATICE,0,0,0,0,0,20,0,0,15,0
DOREL,0,0,0,0,0,61,0,0,0,0
DR-NTU_(Data),0,0,0,0,0,1894,5,0,0,0
DUnAs,0,0,0,0,0,30,0,0,0,0
DaRUS,0,0,43,0,0,6948,0,3,0,0
Dartmouth_Dataverse,0,0,0,0,0,109,0,0,0,0
DataRepositoriUM,0,0,0,0,0,72,0,0,0,0
Data_Suds,0,0,0,0,0,812,0,2,0,0
DataverseNL,3,0,0,2,0,6993,1,8,0,0
DataverseNO,0,0,0,0,0,1555,1,9,0,0
Dataverse_e-cienciaDatos,0,0,0,0,0,1652,0,0,0,0
Edmond,0,0,0,0,0,766,0,0,0,0
FGV_Dataverse,0,0,0,0,0,23,0,0,0,0
Florida_International_University_Research_Data_Portal,0,0,0,0,0,41,0,0,0,0
George_Mason_University_Dataverse,0,0,0,0,0,18,0,0,0,0
Gustave_Eiffel_University_Dataverse,0,0,0,0,0,48,0,0,0,0
Göttingen_Research_Online,0,0,1,0,0,637,0,1,1,0
Harvard_Dataverse,0,0,0,26,136,23092,41,73,3,0
HeiDATA,0,0,39,5,0,330,4,0,4,0
ICRISAT,0,0,0,0,0,396,0,0,0,0
IISH_Dataverse,0,0,0,1,0,305,0,0,0,0
IPGP_Research_Collection,0,0,0,0,0,64,0,0,0,0
Indata,0,0,0,0,0,1,0,0,0,0
Institute_of_Russian_Literature_Dataverse,0,0,0,0,0,9,0,0,0,0
International_Potato_Center,0,0,0,0,0,1085,0,0,0,0
Italian_Institute_of_Technology_(IIT),0,0,0,0,0,37,0,0,0,0
JPL_Open_Repository,0,0,0,0,0,41,0,0,0,0
Johns_Hopkins_Research_Data_Repository,0,0,0,0,0,562,0,0,0,0
Jülich_DATA,0,0,0,0,0,344,0,4,0,0
KEEN_Data_Management_Platform,0,0,0,0,0,5,0,0,0,0
KU_Leuven_RDR,0,0,0,0,0,334,0,0,0,0
Libra_Data,0,0,0,0,1,146,0,0,0,0
Lithuanian_Data_Archive_for_Social_Sciences_and_Humanities_(LiDA),0,0,0,0,0,1218,0,0,0,0
MELDATA,0,0,0,0,0,762,0,0,0,0
NIE_Data_Repository,0,0,0,0,0,321,0,0,0,0
NIOZ_Dataverse,0,0,0,0,0,178,0,0,0,0
NYCU_Dataverse,0,0,0,0,0,38,0,0,0,0
Open_Data_@_UCLouvain,0,0,0,0,0,111,0,0,0,0
Open_Forest_Data,0,0,0,4,0,14369,0,0,0,0
PAPYRUS,0,0,0,0,0,281,0,0,0,0
Peking_University,0,0,0,0,0,77,0,0,0,0
Pontificia_Universidad_Católica_del_Perú,0,0,0,0,0,9,0,0,0,0
QDR_Main_Collection,0,0,0,0,0,172,0,0,0,0
RSU_Dataverse,0,0,0,0,0,242,0,0,0,0
Recherche_Data_Gouv,0,5,0,0,0,2670,0,0,0,50
Repositorio_de_Datos_Académicos_RDA-UNR,0,0,0,0,0,57,0,0,0,0
Repositorio_de_Datos_de_Investigación_Universidad_del_Rosario,0,0,0,0,0,163,1,2,0,0
Repositorio_de_datos_de_investigación_de_la_Universidad_de_Chile,0,0,0,0,0,75,0,0,0,0
Repositorio_de_datos_de_la_Universidad_de_Concepción,0,0,0,0,0,24,0,0,0,0
Repositório_de_Dados_de_Pesquisa_da_UFABC,0,0,0,0,0,4,0,0,0,0
Repositórios_Piloto_da_Rede_Nacional_de_Ensino_e_Pesquisa,0,0,0,0,0,0,0,0,0,0
Repositório_Polen,0,0,0,0,0,4,0,0,0,0
Repositório_de_Dados_de_Pesquisa,0,0,0,0,0,100,0,0,0,0
SciELO_Data,0,0,0,0,0,1249,3,0,0,0
TRR170-DB,0,0,0,0,0,94,0,21,0,0
Tecnológico_de_Monterrey_Data_Hub,0,0,0,0,0,1,0,0,0,0
Texas_Data_Repository_Dataverse,0,0,0,0,3,852,2,1,5,0
UCLA_Dataverse,0,0,0,0,0,65,0,0,0,0
UNB_Libraries_Dataverse,0,0,0,0,1,14,0,1,0,0
UNC_Dataverse,0,0,0,0,0,398,0,0,4,0
University_of_Manitoba_Dataverse,0,0,0,0,0,45,0,0,0,0
Università_degli_Studi_di_Milano,0,0,0,0,0,147,0,8,0,0
VTTI,0,0,0,0,0,426,0,0,0,0
World_Agroforestry_-_Research_Data_Repository,0,0,0,0,0,144,0,0,0,0
bonndata,0,0,0,0,0,0,0,0,0,0
dare,0,0,0,0,0,1,0,0,0,0
data.sciencespo,0,0,0,53,0,149,0,0,0,0
osnaData,0,0,0,0,0,38,0,0,0,0
